,regime,Bull,Bear,Crisis
2010-10-05,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-06,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-07,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-08,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-11,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-12,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-13,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-14,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-15,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-18,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-19,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-20,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-21,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-22,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-25,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-26,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-27,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-28,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-10-29,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-11-01,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-11-02,Bull,1.0,2.145453542971317e-164,5.374129347526334e-181
2010-11-03,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-04,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-08,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-09,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-10,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-11,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
2010-11-12,Bear,2.0769226592240147e-05,0.999978662938739,5.678347767237898e-07
