date,Strategy,turnover
2010-10-05,RegimeShift,1.0000000000981288
2010-10-06,RegimeShift,0.0
2010-10-07,RegimeShift,0.0
2010-10-08,RegimeShift,0.0
2010-10-11,RegimeShift,0.0
2010-10-12,RegimeShift,0.0
2010-10-13,RegimeShift,0.0
2010-10-14,RegimeShift,0.0
2010-10-15,RegimeShift,0.0
2010-10-18,RegimeShift,0.0
2010-10-19,RegimeShift,0.0
2010-10-20,RegimeShift,0.0
2010-10-21,RegimeShift,0.0
2010-10-22,RegimeShift,0.0
2010-10-25,RegimeShift,0.0
2010-10-26,RegimeShift,0.0
2010-10-27,RegimeShift,0.0
2010-10-28,RegimeShift,0.0
2010-10-29,RegimeShift,0.0
2010-11-01,RegimeShift,0.0
2010-11-02,RegimeShift,0.0
2010-11-03,RegimeShift,0.0039359122953197545
2010-11-04,RegimeShift,0.0
2010-11-08,RegimeShift,0.0
2010-11-09,RegimeShift,0.0
2010-11-10,RegimeShift,0.0
2010-11-11,RegimeShift,0.0
2010-11-12,RegimeShift,0.0
2010-11-15,RegimeShift,0.0
2010-11-16,RegimeShift,0.0
2010-11-18,RegimeShift,0.0
2010-11-19,RegimeShift,0.0
2010-11-22,RegimeShift,0.0
2010-11-23,RegimeShift,0.0
2010-11-24,RegimeShift,0.0
2010-11-25,RegimeShift,0.0
2010-11-26,RegimeShift,0.0
2010-11-29,RegimeShift,0.0
2010-11-30,RegimeShift,0.0
2010-12-01,RegimeShift,0.0
2010-12-02,RegimeShift,0.0
2010-12-03,RegimeShift,0.0
2010-12-06,RegimeShift,0.7091382835525495
2010-12-07,RegimeShift,0.0
2010-12-08,RegimeShift,0.0
2010-12-09,RegimeShift,0.0
2010-12-10,RegimeShift,0.0
2010-12-13,RegimeShift,0.0
2010-12-14,RegimeShift,0.0
2010-12-15,RegimeShift,0.0
2010-12-16,RegimeShift,0.0
2010-12-20,RegimeShift,0.0
2010-12-21,RegimeShift,0.0
2010-12-22,RegimeShift,0.0
2010-12-23,RegimeShift,0.0
2010-12-24,RegimeShift,0.0
2010-12-27,RegimeShift,0.0
2010-12-28,RegimeShift,0.0
2010-12-29,RegimeShift,0.0
2010-12-30,RegimeShift,0.0
2010-12-31,RegimeShift,0.0
2011-01-03,RegimeShift,0.0
2011-01-04,RegimeShift,0.0
2011-01-05,RegimeShift,0.7114365525264665
2011-01-06,RegimeShift,0.0
2011-01-07,RegimeShift,0.0
2011-01-10,RegimeShift,0.0
2011-01-11,RegimeShift,0.0
2011-01-12,RegimeShift,0.0
2011-01-13,RegimeShift,0.0
2011-01-14,RegimeShift,0.0
2011-01-17,RegimeShift,0.0
2011-01-18,RegimeShift,0.0
2011-01-19,RegimeShift,0.0
2011-01-20,RegimeShift,0.0
2011-01-21,RegimeShift,0.0
2011-01-24,RegimeShift,0.0
2011-01-25,RegimeShift,0.0
2011-01-27,RegimeShift,0.0
2011-01-28,RegimeShift,0.0
2011-01-31,RegimeShift,0.0
2011-02-01,RegimeShift,0.0
2011-02-02,RegimeShift,0.0
2011-02-03,RegimeShift,0.0
2011-02-04,RegimeShift,0.7266200598061907
2011-02-07,RegimeShift,0.0
2011-02-08,RegimeShift,0.0
2011-02-09,RegimeShift,0.0
2011-02-10,RegimeShift,0.0
2011-02-11,RegimeShift,0.0
2011-02-14,RegimeShift,0.0
2011-02-15,RegimeShift,0.0
2011-02-16,RegimeShift,0.0
2011-02-17,RegimeShift,0.0
2011-02-18,RegimeShift,0.0
2011-02-21,RegimeShift,0.0
2011-02-22,RegimeShift,0.0
2011-02-23,RegimeShift,0.0
2011-02-24,RegimeShift,0.0
2011-02-25,RegimeShift,0.0
2011-02-28,RegimeShift,0.0
2011-03-01,RegimeShift,0.0
2011-03-03,RegimeShift,0.0
2011-03-04,RegimeShift,0.0
2011-03-07,RegimeShift,0.0
2011-03-08,RegimeShift,0.007935676316885918
2011-03-09,RegimeShift,0.0
2011-03-10,RegimeShift,0.0
2011-03-11,RegimeShift,0.0
2011-03-14,RegimeShift,0.0
2011-03-15,RegimeShift,0.0
2011-03-16,RegimeShift,0.0
2011-03-17,RegimeShift,0.0
2011-03-18,RegimeShift,0.0
2011-03-21,RegimeShift,0.0
2011-03-22,RegimeShift,0.0
2011-03-23,RegimeShift,0.0
2011-03-24,RegimeShift,0.0
2011-03-25,RegimeShift,0.0
2011-03-28,RegimeShift,0.0
2011-03-29,RegimeShift,0.0
2011-03-30,RegimeShift,0.0
2011-03-31,RegimeShift,0.0
2011-04-01,RegimeShift,0.0
2011-04-04,RegimeShift,0.0
2011-04-05,RegimeShift,0.0
2011-04-06,RegimeShift,0.7220541219801322
2011-04-07,RegimeShift,0.0
2011-04-08,RegimeShift,0.0
2011-04-11,RegimeShift,0.0
2011-04-13,RegimeShift,0.0
2011-04-15,RegimeShift,0.0
2011-04-18,RegimeShift,0.0
2011-04-19,RegimeShift,0.0
2011-04-20,RegimeShift,0.0
2011-04-21,RegimeShift,0.0
2011-04-25,RegimeShift,0.0
2011-04-26,RegimeShift,0.0
2011-04-27,RegimeShift,0.0
2011-04-28,RegimeShift,0.0
2011-04-29,RegimeShift,0.0
2011-05-02,RegimeShift,0.0
2011-05-03,RegimeShift,0.0
2011-05-04,RegimeShift,0.0
2011-05-05,RegimeShift,0.0
2011-05-06,RegimeShift,0.0
2011-05-09,RegimeShift,0.0
2011-05-10,RegimeShift,0.017093948132308863
2011-05-11,RegimeShift,0.0
2011-05-12,RegimeShift,0.0
2011-05-13,RegimeShift,0.0
2011-05-16,RegimeShift,0.0
2011-05-17,RegimeShift,0.0
2011-05-18,RegimeShift,0.0
2011-05-19,RegimeShift,0.0
2011-05-20,RegimeShift,0.0
2011-05-23,RegimeShift,0.0
2011-05-24,RegimeShift,0.0
2011-05-25,RegimeShift,0.0
2011-05-26,RegimeShift,0.0
2011-05-27,RegimeShift,0.0
2011-05-30,RegimeShift,0.0
2011-05-31,RegimeShift,0.0
2011-06-01,RegimeShift,0.0
2011-06-02,RegimeShift,0.0
2011-06-03,RegimeShift,0.0
2011-06-06,RegimeShift,0.0
2011-06-07,RegimeShift,0.0
2011-06-08,RegimeShift,0.002141161451303828
2011-06-09,RegimeShift,0.0
2011-06-10,RegimeShift,0.0
2011-06-13,RegimeShift,0.0
2011-06-14,RegimeShift,0.0
2011-06-15,RegimeShift,0.0
2011-06-16,RegimeShift,0.0
2011-06-17,RegimeShift,0.0
2011-06-20,RegimeShift,0.0
2011-06-21,RegimeShift,0.0
2011-06-22,RegimeShift,0.0
2011-06-23,RegimeShift,0.0
2011-06-24,RegimeShift,0.0
2011-06-27,RegimeShift,0.0
2011-06-28,RegimeShift,0.0
2011-06-29,RegimeShift,0.0
2011-06-30,RegimeShift,0.0
2011-07-01,RegimeShift,0.0
2011-07-04,RegimeShift,0.0
2011-07-05,RegimeShift,0.0
2011-07-06,RegimeShift,0.0
2011-07-07,RegimeShift,0.00772648500529237
2011-07-08,RegimeShift,0.0
2011-07-11,RegimeShift,0.0
2011-07-12,RegimeShift,0.0
2011-07-13,RegimeShift,0.0
2011-07-14,RegimeShift,0.0
2011-07-15,RegimeShift,0.0
2011-07-18,RegimeShift,0.0
2011-07-19,RegimeShift,0.0
2011-07-20,RegimeShift,0.0
2011-07-21,RegimeShift,0.0
2011-07-22,RegimeShift,0.0
2011-07-25,RegimeShift,0.0
2011-07-26,RegimeShift,0.0
2011-07-27,RegimeShift,0.0
2011-07-28,RegimeShift,0.0
2011-07-29,RegimeShift,0.0
2011-08-01,RegimeShift,0.0
2011-08-02,RegimeShift,0.0
2011-08-03,RegimeShift,0.0
2011-08-04,RegimeShift,0.0
2011-08-05,RegimeShift,0.19999973537247662
2011-08-08,RegimeShift,0.0
2011-08-09,RegimeShift,0.0
2011-08-10,RegimeShift,0.0
2011-08-11,RegimeShift,0.0
2011-08-12,RegimeShift,0.0
2011-08-16,RegimeShift,0.0
2011-08-17,RegimeShift,0.0
2011-08-18,RegimeShift,0.0
2011-08-19,RegimeShift,0.0
2011-08-22,RegimeShift,0.0
2011-08-23,RegimeShift,0.0
2011-08-24,RegimeShift,0.0
2011-08-25,RegimeShift,0.0
2011-08-26,RegimeShift,0.0
2011-08-29,RegimeShift,0.0
2011-08-30,RegimeShift,0.0
2011-09-02,RegimeShift,0.0
2011-09-05,RegimeShift,0.0
2011-09-06,RegimeShift,0.0
2011-09-07,RegimeShift,0.0
2011-09-08,RegimeShift,0.569234043891244
2011-09-09,RegimeShift,0.0
2011-09-12,RegimeShift,0.0
2011-09-13,RegimeShift,0.0
2011-09-14,RegimeShift,0.0
2011-09-15,RegimeShift,0.0
2011-09-16,RegimeShift,0.0
2011-09-19,RegimeShift,0.0
2011-09-20,RegimeShift,0.0
2011-09-21,RegimeShift,0.0
2011-09-22,RegimeShift,0.0
2011-09-23,RegimeShift,0.0
2011-09-26,RegimeShift,0.0
2011-09-27,RegimeShift,0.0
2011-09-28,RegimeShift,0.0
2011-09-29,RegimeShift,0.0
2011-09-30,RegimeShift,0.0
2011-10-03,RegimeShift,0.0
2011-10-04,RegimeShift,0.0
2011-10-05,RegimeShift,0.0
2011-10-07,RegimeShift,0.0
2011-10-10,RegimeShift,0.008711557583789019
2011-10-11,RegimeShift,0.0
2011-10-12,RegimeShift,0.0
2011-10-13,RegimeShift,0.0
2011-10-14,RegimeShift,0.0
2011-10-17,RegimeShift,0.0
2011-10-18,RegimeShift,0.0
2011-10-19,RegimeShift,0.0
2011-10-20,RegimeShift,0.0
2011-10-21,RegimeShift,0.0
2011-10-24,RegimeShift,0.0
2011-10-25,RegimeShift,0.0
2011-10-28,RegimeShift,0.0
2011-10-31,RegimeShift,0.0
2011-11-01,RegimeShift,0.0
2011-11-02,RegimeShift,0.0
2011-11-03,RegimeShift,0.0
2011-11-04,RegimeShift,0.0
2011-11-08,RegimeShift,0.0
2011-11-09,RegimeShift,0.0
2011-11-11,RegimeShift,0.0
2011-11-14,RegimeShift,0.01653035568954994
2011-11-15,RegimeShift,0.0
2011-11-16,RegimeShift,0.0
2011-11-17,RegimeShift,0.0
2011-11-18,RegimeShift,0.0
2011-11-21,RegimeShift,0.0
2011-11-22,RegimeShift,0.0
2011-11-23,RegimeShift,0.0
2011-11-24,RegimeShift,0.0
2011-11-25,RegimeShift,0.0
2011-11-28,RegimeShift,0.0
2011-11-29,RegimeShift,0.0
2011-11-30,RegimeShift,0.0
2011-12-01,RegimeShift,0.0
2011-12-02,RegimeShift,0.0
2011-12-05,RegimeShift,0.0
2011-12-07,RegimeShift,0.0
2011-12-08,RegimeShift,0.0
2011-12-09,RegimeShift,0.0
2011-12-12,RegimeShift,0.0
2011-12-13,RegimeShift,0.0
2011-12-14,RegimeShift,0.552475872981674
2011-12-15,RegimeShift,0.0
2011-12-16,RegimeShift,0.0
2011-12-19,RegimeShift,0.0
2011-12-20,RegimeShift,0.0
2011-12-21,RegimeShift,0.0
2011-12-22,RegimeShift,0.0
2011-12-23,RegimeShift,0.0
2011-12-26,RegimeShift,0.0
2011-12-27,RegimeShift,0.0
2011-12-28,RegimeShift,0.0
2011-12-29,RegimeShift,0.0
2011-12-30,RegimeShift,0.0
2012-01-02,RegimeShift,0.0
2012-01-03,RegimeShift,0.0
2012-01-04,RegimeShift,0.0
2012-01-05,RegimeShift,0.0
2012-01-06,RegimeShift,0.0
2012-01-09,RegimeShift,0.0
2012-01-10,RegimeShift,0.0
2012-01-11,RegimeShift,0.0
2012-01-12,RegimeShift,0.004881155921910615
2012-01-13,RegimeShift,0.0
2012-01-16,RegimeShift,0.0
2012-01-17,RegimeShift,0.0
2012-01-18,RegimeShift,0.0
2012-01-19,RegimeShift,0.0
2012-01-20,RegimeShift,0.0
2012-01-23,RegimeShift,0.0
2012-01-24,RegimeShift,0.0
2012-01-25,RegimeShift,0.0
2012-01-27,RegimeShift,0.0
2012-01-30,RegimeShift,0.0
2012-01-31,RegimeShift,0.0
2012-02-01,RegimeShift,0.0
2012-02-02,RegimeShift,0.0
2012-02-03,RegimeShift,0.0
