date,Strategy,asset,weight
2010-10-05,RegimeShift,equity,0.6500000137845555
2010-10-06,RegimeShift,equity,0.6490093431561974
2010-10-07,RegimeShift,equity,0.6455953203630571
2010-10-08,RegimeShift,equity,0.6490470367509886
2010-10-11,RegimeShift,equity,0.6467719734833772
2010-10-12,RegimeShift,equity,0.6445286358795217
2010-10-13,RegimeShift,equity,0.6482539409584455
2010-10-14,RegimeShift,equity,0.6443441622873056
2010-10-15,RegimeShift,equity,0.6415969770904579
2010-10-18,RegimeShift,equity,0.6437026332525553
2010-10-19,RegimeShift,equity,0.6397633148990797
2010-10-20,RegimeShift,equity,0.6425018170748625
2010-10-21,RegimeShift,equity,0.6450522567134637
2010-10-22,RegimeShift,equity,0.646545871473419
2010-10-25,RegimeShift,equity,0.6462417717343524
2010-10-26,RegimeShift,equity,0.646970980905231
2010-10-27,RegimeShift,equity,0.6445347287600004
2010-10-28,RegimeShift,equity,0.644454669140948
2010-10-29,RegimeShift,equity,0.6446001061516056
2010-11-01,RegimeShift,equity,0.6434479717492508
2010-11-02,RegimeShift,equity,0.6444634887848817
2010-11-03,RegimeShift,equity,0.6500000049368703
2010-11-04,RegimeShift,equity,0.6541472872009139
2010-11-08,RegimeShift,equity,0.6504714295922231
2010-11-09,RegimeShift,equity,0.6487373799752196
2010-11-10,RegimeShift,equity,0.6475355486339173
2010-11-11,RegimeShift,equity,0.6441791669488439
2010-11-12,RegimeShift,equity,0.6417359646989684
2010-11-15,RegimeShift,equity,0.6446438320210534
2010-11-16,RegimeShift,equity,0.6393884384543793
2010-11-18,RegimeShift,equity,0.6399471621935335
2010-11-19,RegimeShift,equity,0.635311979732635
2010-11-22,RegimeShift,equity,0.6397609945457698
2010-11-23,RegimeShift,equity,0.6348766176353191
2010-11-24,RegimeShift,equity,0.6302270831854775
2010-11-25,RegimeShift,equity,0.628299926074567
2010-11-26,RegimeShift,equity,0.6261773921859717
2010-11-29,RegimeShift,equity,0.6296193071345783
2010-11-30,RegimeShift,equity,0.6312383402841627
2010-12-01,RegimeShift,equity,0.6342766820849914
2010-12-02,RegimeShift,equity,0.636109714414209
2010-12-03,RegimeShift,equity,0.6350329432906854
2010-12-06,RegimeShift,equity,0.04086086208628354
2010-12-07,RegimeShift,equity,0.040737778664107126
2010-12-08,RegimeShift,equity,0.04037496144020756
2010-12-09,RegimeShift,equity,0.03951490003802948
2010-12-10,RegimeShift,equity,0.04010572697979032
2010-12-13,RegimeShift,equity,0.040425678209805305
2010-12-14,RegimeShift,equity,0.04060732525283787
2010-12-15,RegimeShift,equity,0.04033362691770757
2010-12-16,RegimeShift,equity,0.04069879005634881
2010-12-20,RegimeShift,equity,0.040680034500403466
2010-12-21,RegimeShift,equity,0.0410453981298564
2010-12-22,RegimeShift,equity,0.04095021755710279
2010-12-23,RegimeShift,equity,0.040966772101459124
2010-12-24,RegimeShift,equity,0.041135029456488434
2010-12-27,RegimeShift,equity,0.04100170589620064
2010-12-28,RegimeShift,equity,0.04100469978824406
2010-12-29,RegimeShift,equity,0.04135716049115665
2010-12-30,RegimeShift,equity,0.0416046279983323
2010-12-31,RegimeShift,equity,0.041859818251661796
2011-01-03,RegimeShift,equity,0.04195277008761804
2011-01-04,RegimeShift,equity,0.04191944158169343
2011-01-05,RegimeShift,equity,0.2000000095664028
2011-01-06,RegimeShift,equity,0.20004936310367313
2011-01-07,RegimeShift,equity,0.1973672979859433
2011-01-10,RegimeShift,equity,0.1930160619585884
2011-01-11,RegimeShift,equity,0.1925236203008132
2011-01-12,RegimeShift,equity,0.1950292665949786
2011-01-13,RegimeShift,equity,0.19187640061297812
2011-01-14,RegimeShift,equity,0.1899418296900786
2011-01-17,RegimeShift,equity,0.19052535220888545
2011-01-18,RegimeShift,equity,0.19165608960459765
2011-01-19,RegimeShift,equity,0.19112947678801065
2011-01-20,RegimeShift,equity,0.19123689208873274
2011-01-21,RegimeShift,equity,0.19256398379542614
2011-01-24,RegimeShift,equity,0.19347532794551608
2011-01-25,RegimeShift,equity,0.194393628808981
2011-01-27,RegimeShift,equity,0.19080166775909724
2011-01-28,RegimeShift,equity,0.19040206251253522
2011-01-31,RegimeShift,equity,0.18737071811042377
2011-02-01,RegimeShift,equity,0.18559468852609243
2011-02-02,RegimeShift,equity,0.18642430772441704
2011-02-03,RegimeShift,equity,0.1900133971496446
2011-02-04,RegimeShift,equity,0.02337653798107516
2011-02-07,RegimeShift,equity,0.0233926786338552
2011-02-08,RegimeShift,equity,0.023023516169503246
2011-02-09,RegimeShift,equity,0.022755185525403596
2011-02-10,RegimeShift,equity,0.022620654618739754
2011-02-11,RegimeShift,equity,0.022990385971290217
2011-02-14,RegimeShift,equity,0.023607758766314275
2011-02-15,RegimeShift,equity,0.023678026274522132
2011-02-16,RegimeShift,equity,0.02366006165111949
2011-02-17,RegimeShift,equity,0.023918229012047786
2011-02-18,RegimeShift,equity,0.023531104456144574
2011-02-21,RegimeShift,equity,0.023771395611576762
2011-02-22,RegimeShift,equity,0.023550163314562327
2011-02-23,RegimeShift,equity,0.02341058439620305
2011-02-24,RegimeShift,equity,0.022599915217622557
2011-02-25,RegimeShift,equity,0.02280841251360819
2011-02-28,RegimeShift,equity,0.022931467997694736
2011-03-01,RegimeShift,equity,0.02370988380920996
2011-03-03,RegimeShift,equity,0.023717581360493022
2011-03-04,RegimeShift,equity,0.023770279046405263
2011-03-07,RegimeShift,equity,0.023374922408969948
2011-03-08,RegimeShift,equity,0.026473729956095194
2011-03-09,RegimeShift,equity,0.026526538467550875
2011-03-10,RegimeShift,equity,0.02634883289758868
2011-03-11,RegimeShift,equity,0.02616411919637785
2011-03-14,RegimeShift,equity,0.026553054485274407
2011-03-15,RegimeShift,equity,0.02620368668098849
2011-03-16,RegimeShift,equity,0.02654659125507563
2011-03-17,RegimeShift,equity,0.026269058949082276
2011-03-18,RegimeShift,equity,0.02584775082829391
2011-03-21,RegimeShift,equity,0.025759833980757336
2011-03-22,RegimeShift,equity,0.025979127900399843
2011-03-23,RegimeShift,equity,0.026296461717131885
2011-03-24,RegimeShift,equity,0.02647002666439244
2011-03-25,RegimeShift,equity,0.027129327295450832
2011-03-28,RegimeShift,equity,0.02731357282177357
2011-03-29,RegimeShift,equity,0.02759393372034059
2011-03-30,RegimeShift,equity,0.027810459255246476
2011-03-31,RegimeShift,equity,0.027997112243001353
2011-04-01,RegimeShift,equity,0.027943738837908648
2011-04-04,RegimeShift,equity,0.02834721182652014
2011-04-05,RegimeShift,equity,0.028358140334525498
2011-04-06,RegimeShift,equity,0.20000004269973212
2011-04-07,RegimeShift,equity,0.20003136501658814
2011-04-08,RegimeShift,equity,0.19767860228531278
2011-04-11,RegimeShift,equity,0.19541442812385726
2011-04-13,RegimeShift,equity,0.1994640263268743
2011-04-15,RegimeShift,equity,0.1956702816241767
2011-04-18,RegimeShift,equity,0.19230994167726367
2011-04-19,RegimeShift,equity,0.1909974232533492
2011-04-20,RegimeShift,equity,0.19373094537476096
2011-04-21,RegimeShift,equity,0.1945528959715093
2011-04-25,RegimeShift,equity,0.1922446217011841
2011-04-26,RegimeShift,equity,0.19358000499517375
2011-04-27,RegimeShift,equity,0.19247810294345807
2011-04-28,RegimeShift,equity,0.18877371595974216
2011-04-29,RegimeShift,equity,0.18790234471096057
2011-05-02,RegimeShift,equity,0.18411427472709907
2011-05-03,RegimeShift,equity,0.18145650308855052
2011-05-04,RegimeShift,equity,0.18170341445414157
2011-05-05,RegimeShift,equity,0.1812022468394923
2011-05-06,RegimeShift,equity,0.1824423309208356
2011-05-09,RegimeShift,equity,0.18395846687156717
2011-05-10,RegimeShift,equity,0.19999999976965832
2011-05-11,RegimeShift,equity,0.20006136570307592
2011-05-12,RegimeShift,equity,0.2003984893367558
2011-05-13,RegimeShift,equity,0.1998629126441929
2011-05-16,RegimeShift,equity,0.19985519946302924
2011-05-17,RegimeShift,equity,0.1980381394516401
2011-05-18,RegimeShift,equity,0.19784777557034297
2011-05-19,RegimeShift,equity,0.19845579472501068
2011-05-20,RegimeShift,equity,0.19929652663438513
2011-05-23,RegimeShift,equity,0.19464070500259778
2011-05-24,RegimeShift,equity,0.19412614180418591
2011-05-25,RegimeShift,equity,0.19190804144402882
2011-05-26,RegimeShift,equity,0.1944132953529564
2011-05-27,RegimeShift,equity,0.19594951738686636
2011-05-30,RegimeShift,equity,0.1956140266509396
2011-05-31,RegimeShift,equity,0.1949670115957536
2011-06-01,RegimeShift,equity,0.1996078908365078
2011-06-02,RegimeShift,equity,0.19708957951385092
2011-06-03,RegimeShift,equity,0.19730647485597635
2011-06-06,RegimeShift,equity,0.19700440486834378
2011-06-07,RegimeShift,equity,0.19744293748856684
2011-06-08,RegimeShift,equity,0.20000021105868182
2011-06-09,RegimeShift,equity,0.19965571388523567
2011-06-10,RegimeShift,equity,0.1980101946429062
2011-06-13,RegimeShift,equity,0.19938131007120377
2011-06-14,RegimeShift,equity,0.2007577933615276
2011-06-15,RegimeShift,equity,0.19979256681779825
2011-06-16,RegimeShift,equity,0.19708404164175403
2011-06-17,RegimeShift,equity,0.19611650386808288
