strategy,metric,mean,median,ci_lower_95,ci_upper_95,n_valid
RegimeShift,cagr,0.059956973762365494,0.059923206261255246,0.006902424334726692,0.1137308936287473,2000
RegimeShift,vol,0.1719242467317994,0.18567806596569164,0.08273123507736337,0.2997390450405294,2000
RegimeShift,sharpe,0.4828631573764219,0.4309191660041185,0.13690731246762633,1.0878673598721569,2000
RegimeShift,max_drawdown,0.314481317937258,0.35101781746223965,0.12220002016988278,0.5043884410611691,2000
RegimeShift,calmar,0.2389823223349195,0.19099854130513688,0.019831144085859658,0.747637174052746,2000
Static_6040,cagr,0.06761274998561513,0.06724422179974388,0.012683563074771378,0.12187595853079408,2000
Static_6040,vol,0.09838352671527244,0.09770793360588997,0.08855917326238899,0.11152045233097194,2000
Static_6040,sharpe,0.7182135693155862,0.7091102501569724,0.1790530804172751,1.2757654598355201,2000
Static_6040,max_drawdown,0.23744125303972838,0.23048810903606431,0.1211856127644678,0.41041439375981265,2000
Static_6040,calmar,0.33798075501746133,0.29111678702458443,0.0368589901630391,0.8817529249927897,2000
Equal_Weight,cagr,0.08840367003582693,0.08862389102609403,0.041150521941309096,0.1366810870714573,2000
Equal_Weight,vol,0.15578664980332899,0.17031321727654716,0.06845415764618323,0.2793570749477224,2000
Equal_Weight,sharpe,0.7501544300254671,0.6191999082170216,0.3233597537897853,1.52865485495411,2000
Equal_Weight,max_drawdown,0.2754160497136439,0.33007938043740576,0.08815519252189556,0.4301552234254986,2000
Equal_Weight,calmar,0.4179079349770574,0.3064093765434113,0.10837244841756981,1.2686173922758213,2000
