date,posterior_maximum_probability,posterior_entropy
2010-10-05,1.0,5.526204223185709e-11
2010-10-06,1.0,5.526204223185709e-11
2010-10-07,1.0,5.526204223185709e-11
2010-10-08,1.0,5.526204223185709e-11
2010-10-11,1.0,5.526204223185709e-11
2010-10-12,1.0,5.526204223185709e-11
2010-10-13,1.0,5.526204223185709e-11
2010-10-14,1.0,5.526204223185709e-11
2010-10-15,1.0,5.526204223185709e-11
2010-10-18,1.0,5.526204223185709e-11
2010-10-19,1.0,5.526204223185709e-11
2010-10-20,1.0,5.526204223185709e-11
2010-10-21,1.0,5.526204223185709e-11
2010-10-22,1.0,5.526204223185709e-11
2010-10-25,1.0,5.526204223185709e-11
2010-10-26,1.0,5.526204223185709e-11
2010-10-27,1.0,5.526204223185709e-11
2010-10-28,1.0,5.526204223185709e-11
2010-10-29,1.0,5.526204223185709e-11
2010-11-01,1.0,5.526204223185709e-11
2010-11-02,1.0,5.526204223185709e-11
2010-11-03,1.0,5.526204223185709e-11
2010-11-04,1.0,5.526204223185709e-11
2010-11-08,1.0,5.526204223185709e-11
2010-11-09,1.0,5.526204223185709e-11
2010-11-10,1.0,5.526204223185709e-11
2010-11-11,1.0,5.526204223185709e-11
2010-11-12,1.0,5.526204223185709e-11
2010-11-15,1.0,5.526204223185709e-11
2010-11-16,1.0,5.526204223185709e-11
2010-11-18,1.0,5.526204223185709e-11
2010-11-19,1.0,5.526204223185709e-11
2010-11-22,1.0,5.526204223185709e-11
2010-11-23,1.0,5.526204223185709e-11
2010-11-24,1.0,5.526204223185709e-11
2010-11-25,1.0,5.526204223185709e-11
2010-11-26,1.0,5.526204223185709e-11
2010-11-29,1.0,5.526204223185709e-11
2010-11-30,1.0,5.526204223185709e-11
2010-12-01,1.0,5.526204223185709e-11
2010-12-02,1.0,5.526204223185709e-11
2010-12-03,1.0,5.526204223185709e-11
2010-12-06,0.9999999921417384,1.5551276259287278e-07
2010-12-07,0.9999999921417384,1.5551276259287278e-07
2010-12-08,0.9999999921417384,1.5551276259287278e-07
2010-12-09,0.9999999921417384,1.5551276259287278e-07
2010-12-10,0.9999999921417384,1.5551276259287278e-07
2010-12-13,0.9999999921417384,1.5551276259287278e-07
2010-12-14,0.9999999921417384,1.5551276259287278e-07
2010-12-15,0.9999999921417384,1.5551276259287278e-07
2010-12-16,0.9999999921417384,1.5551276259287278e-07
2010-12-20,0.9999999921417384,1.5551276259287278e-07
2010-12-21,0.9999999921417384,1.5551276259287278e-07
2010-12-22,0.9999999921417384,1.5551276259287278e-07
2010-12-23,0.9999999921417384,1.5551276259287278e-07
2010-12-24,0.9999999921417384,1.5551276259287278e-07
2010-12-27,0.9999999921417384,1.5551276259287278e-07
2010-12-28,0.9999999921417384,1.5551276259287278e-07
2010-12-29,0.9999999921417384,1.5551276259287278e-07
2010-12-30,0.9999999921417384,1.5551276259287278e-07
2010-12-31,0.9999999921417384,1.5551276259287278e-07
2011-01-03,0.9999999921417384,1.5551276259287278e-07
2011-01-04,0.9999999921417384,1.5551276259287278e-07
2011-01-05,0.9875406856615347,0.06701903939076588
2011-01-06,0.9875406856615347,0.06701903939076588
2011-01-07,0.9875406856615347,0.06701903939076588
2011-01-10,0.9875406856615347,0.06701903939076588
2011-01-11,0.9875406856615347,0.06701903939076588
2011-01-12,0.9875406856615347,0.06701903939076588
2011-01-13,0.9875406856615347,0.06701903939076588
2011-01-14,0.9875406856615347,0.06701903939076588
2011-01-17,0.9875406856615347,0.06701903939076588
2011-01-18,0.9875406856615347,0.06701903939076588
2011-01-19,0.9875406856615347,0.06701903939076588
2011-01-20,0.9875406856615347,0.06701903939076588
2011-01-21,0.9875406856615347,0.06701903939076588
2011-01-24,0.9875406856615347,0.06701903939076588
2011-01-25,0.9875406856615347,0.06701903939076588
2011-01-27,0.9875406856615347,0.06701903939076588
2011-01-28,0.9875406856615347,0.06701903939076588
2011-01-31,0.9875406856615347,0.06701903939076588
2011-02-01,0.9875406856615347,0.06701903939076588
2011-02-02,0.9875406856615347,0.06701903939076588
2011-02-03,0.9875406856615347,0.06701903939076588
2011-02-04,1.0,5.526204223185709e-11
2011-02-07,1.0,5.526204223185709e-11
2011-02-08,1.0,5.526204223185709e-11
2011-02-09,1.0,5.526204223185709e-11
2011-02-10,1.0,5.526204223185709e-11
2011-02-11,1.0,5.526204223185709e-11
2011-02-14,1.0,5.526204223185709e-11
2011-02-15,1.0,5.526204223185709e-11
2011-02-16,1.0,5.526204223185709e-11
2011-02-17,1.0,5.526204223185709e-11
2011-02-18,1.0,5.526204223185709e-11
2011-02-21,1.0,5.526204223185709e-11
2011-02-22,1.0,5.526204223185709e-11
2011-02-23,1.0,5.526204223185709e-11
2011-02-24,1.0,5.526204223185709e-11
2011-02-25,1.0,5.526204223185709e-11
2011-02-28,1.0,5.526204223185709e-11
2011-03-01,1.0,5.526204223185709e-11
2011-03-03,1.0,5.526204223185709e-11
2011-03-04,1.0,5.526204223185709e-11
2011-03-07,1.0,5.526204223185709e-11
2011-03-08,0.999999999986585,3.7577044113084496e-10
2011-03-09,0.999999999986585,3.7577044113084496e-10
2011-03-10,0.999999999986585,3.7577044113084496e-10
2011-03-11,0.999999999986585,3.7577044113084496e-10
2011-03-14,0.999999999986585,3.7577044113084496e-10
2011-03-15,0.999999999986585,3.7577044113084496e-10
2011-03-16,0.999999999986585,3.7577044113084496e-10
2011-03-17,0.999999999986585,3.7577044113084496e-10
2011-03-18,0.999999999986585,3.7577044113084496e-10
2011-03-21,0.999999999986585,3.7577044113084496e-10
2011-03-22,0.999999999986585,3.7577044113084496e-10
2011-03-23,0.999999999986585,3.7577044113084496e-10
2011-03-24,0.999999999986585,3.7577044113084496e-10
2011-03-25,0.999999999986585,3.7577044113084496e-10
2011-03-28,0.999999999986585,3.7577044113084496e-10
2011-03-29,0.999999999986585,3.7577044113084496e-10
2011-03-30,0.999999999986585,3.7577044113084496e-10
2011-03-31,0.999999999986585,3.7577044113084496e-10
2011-04-01,0.999999999986585,3.7577044113084496e-10
2011-04-04,0.999999999986585,3.7577044113084496e-10
2011-04-05,0.999999999986585,3.7577044113084496e-10
2011-04-06,0.9997566774991676,0.002268009340477787
2011-04-07,0.9997566774991676,0.002268009340477787
2011-04-08,0.9997566774991676,0.002268009340477787
2011-04-11,0.9997566774991676,0.002268009340477787
2011-04-13,0.9997566774991676,0.002268009340477787
2011-04-15,0.9997566774991676,0.002268009340477787
2011-04-18,0.9997566774991676,0.002268009340477787
2011-04-19,0.9997566774991676,0.002268009340477787
2011-04-20,0.9997566774991676,0.002268009340477787
2011-04-21,0.9997566774991676,0.002268009340477787
2011-04-25,0.9997566774991676,0.002268009340477787
2011-04-26,0.9997566774991676,0.002268009340477787
2011-04-27,0.9997566774991676,0.002268009340477787
2011-04-28,0.9997566774991676,0.002268009340477787
2011-04-29,0.9997566774991676,0.002268009340477787
2011-05-02,0.9997566774991676,0.002268009340477787
2011-05-03,0.9997566774991676,0.002268009340477787
2011-05-04,0.9997566774991676,0.002268009340477787
2011-05-05,0.9997566774991676,0.002268009340477787
2011-05-06,0.9997566774991676,0.002268009340477787
2011-05-09,0.9997566774991676,0.002268009340477787
