fold,strategy,n_obs,start,end,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,ann_turnover,cost_drag
2013-2015,RegimeShift,715,2013-01-31,2015-12-31,-0.007358746048292564,0.08360030402044306,-0.04611576765911414,-0.04057150236731338,0.13986715182783938,-0.0526123964928545,3.36075269261865,0.018863960547132574
2013-2015,Static 60/40,737,2013-01-01,2015-12-31,0.0895738505507857,0.09595250313466991,0.9421701358018123,0.9331150796941245,0.0883164104214883,1.0142378989736596,0.0,0.0
2013-2015,Equal Weight,737,2013-01-01,2015-12-31,0.03287629552190774,0.06430828344971981,0.5351616050592949,0.5263196113763065,0.07605614156087048,0.43226352069931984,0.0,0.0
2016-2018,RegimeShift,740,2016-01-01,2018-12-31,0.022603957796477836,0.06750222383592092,0.3649157302747298,0.3476606482509981,0.10631845317678568,0.2126061574550197,3.3125231282875327,0.02099020961595044
2016-2018,Static 60/40,740,2016-01-01,2018-12-31,0.08564709639404722,0.07564793091994182,1.1242575911221648,1.098230912083061,0.08581955619153347,0.9979904370852098,0.0,0.0
2016-2018,Equal Weight,740,2016-01-01,2018-12-31,0.07843640874872349,0.047992909947164535,1.5976036434045235,1.6449523644591628,0.07611274081035713,1.0305292900193415,0.0,0.0
2019-2021,RegimeShift,742,2019-01-01,2021-12-31,0.0899613467992646,0.37763903203859256,0.4016572235389923,0.4786865713265118,0.35055575392529914,0.25662493281577886,3.014150123754921,0.023089285345354593
2019-2021,Static 60/40,742,2019-01-01,2021-12-31,0.11953193384526983,0.1264872222248364,0.9563999685834441,0.8597744941696915,0.23385384013446575,0.5111394954067852,0.0,0.0
2019-2021,Equal Weight,742,2019-01-01,2021-12-31,0.12190759796514516,0.3562400073700888,0.48818096861480287,0.5806243679727715,0.32962929094537596,0.3698324187620417,0.0,0.0
2022-2024,RegimeShift,739,2022-01-03,2024-12-31,0.05093703842192565,0.08041919923060957,0.658059077912693,0.6153387272709128,0.10429648830103888,0.4883868982712266,3.504105678921366,0.02403492538112162
2022-2024,Static 60/40,739,2022-01-03,2024-12-31,0.08783845988246197,0.08473948409752821,1.0361019232669257,0.9860540689852294,0.09560250581637142,0.9187882590774111,0.0,0.0
2022-2024,Equal Weight,739,2022-01-03,2024-12-31,0.10943014787480032,0.06213827632629152,1.7025942481757714,1.640980632851062,0.054088755142731926,2.0231589280624216,0.0,0.0
2025-2026,RegimeShift,391,2025-01-01,2026-07-27,0.21346924565139558,0.1210422153249702,1.6595585129667199,1.6456644699768406,0.10692392888011404,1.99645905165665,2.8594832156233077,0.01204042151890583
2025-2026,Static 60/40,391,2025-01-01,2026-07-27,0.011664039107250224,0.07988796830019597,0.18499296158118472,0.18442133549857098,0.09271049000243026,0.12581142767063866,0.0,0.0
2025-2026,Equal Weight,391,2025-01-01,2026-07-27,0.15532114753467363,0.11232438149053908,1.3420322264134192,1.2344669817569103,0.12923855260923534,1.2018174484226964,0.0,0.0
