Period,Strategy,Total Return,CAGR,Annualised Volatility,Sharpe,Sortino,Maximum Drawdown,Calmar,Total Turnover,Annualised Turnover,Transaction Cost Drag,n_observations,risk_free_rate,annualization_factor
Development,RegimeShift,0.1804,0.0227,0.0881,0.2994,0.2852,0.191,0.119,,,,1860,0.0,252
Development,No-regime optimizer,0.532,0.0595,0.1074,0.5918,0.5726,0.1775,0.3352,,,,1860,0.0,252
Development,Volatility rule,0.3595,0.0425,0.0897,0.5088,0.4965,0.1439,0.2952,,,,1860,0.0,252
Development,HMM fixed allocations,0.2302,0.0285,0.0724,0.424,0.4082,0.1324,0.215,,,,1860,0.0,252
Development,Minimum variance,0.3819,0.0448,0.0221,1.9983,2.2331,0.0198,2.2645,,,,1860,0.0,252
Development,Static 60/40,0.4171,0.0484,0.0945,0.5471,0.5421,0.1888,0.2562,,,,1860,0.0,252
Development,Equal Weight,0.4555,0.0522,0.0655,0.8089,0.8045,0.0971,0.5372,,,,1860,0.0,252
Validation,RegimeShift,0.2887,0.09,0.3776,0.4017,0.4787,0.3506,0.2566,,,,742,0.0,252
Validation,No-regime optimizer,0.0202,0.0068,2.2641,0.4577,1.4516,0.7937,0.0086,,,,742,0.0,252
Validation,Volatility rule,0.4198,0.1264,0.3266,0.5197,0.5758,0.2965,0.4263,,,,742,0.0,252
Validation,HMM fixed allocations,0.483,0.1432,0.2009,0.7645,0.8051,0.1961,0.7303,,,,742,0.0,252
Validation,Minimum variance,0.1571,0.0508,0.1067,0.5177,0.5055,0.1137,0.4468,,,,742,0.0,252
Validation,Static 60/40,0.3944,0.1195,0.1265,0.9564,0.8598,0.2339,0.5111,,,,742,0.0,252
Validation,Equal Weight,0.4031,0.1219,0.3562,0.4882,0.5806,0.3296,0.3698,,,,742,0.0,252
Retrospective evaluation,RegimeShift,0.5619,0.1046,0.0965,1.0792,1.0439,0.1069,0.9778,,,,1130,0.0,252
Retrospective evaluation,No-regime optimizer,0.8906,0.1526,0.1615,0.961,0.9111,0.2234,0.683,,,,1130,0.0,252
Retrospective evaluation,Volatility rule,0.5767,0.1069,0.0906,1.1661,1.0955,0.1198,0.8918,,,,1130,0.0,252
Retrospective evaluation,HMM fixed allocations,0.4245,0.0821,0.0757,1.0805,1.0154,0.0858,0.9567,,,,1130,0.0,252
Retrospective evaluation,Minimum variance,0.3118,0.0624,0.0242,2.5095,2.6061,0.0348,1.794,,,,1130,0.0,252
Retrospective evaluation,Static 60/40,0.3033,0.0609,0.0831,0.7526,0.7279,0.0956,0.6365,,,,1130,0.0,252
Retrospective evaluation,Equal Weight,0.6965,0.1251,0.083,1.4626,1.3577,0.1292,0.968,,,,1130,0.0,252
